id,x,y,matches
0,280.388947,231.882202,18
1,352.503601,595.371460,12
2,337.732025,419.990112,109
3,440.196533,621.585449,94
4,238.344498,528.177612,106
5,197.570496,494.981995,113
6,253.001831,468.104553,105
7,407.884369,761.791016,165
8,425.120880,749.194153,152
9,227.460022,414.117737,189
10,236.045898,391.808167,220
11,267.299194,350.521851,255
12,271.271027,370.556580,258
13,274.443420,332.355713,296
14,267.028870,285.875793,319
15,264.710022,278.937866,291
16,266.963104,241.812317,383
17,255.927765,265.560852,322
18,249.531097,247.129639,539
19,78.923515,667.400757,367
20,192.827026,253.048279,277
21,193.928925,262.262695,243
22,196.956863,245.421997,242
23,286.021606,195.108215,383
24,315.460297,230.338440,373
25,331.988251,235.866028,504
26,356.669342,175.494202,629
27,348.508270,182.718079,601
28,337.590057,167.978027,602
29,343.780029,174.737488,592
30,357.284027,194.382996,586
31,355.968597,171.971130,652
32,368.888550,174.746948,612
33,364.309143,173.541382,611
34,333.248535,184.130981,523
35,317.466248,218.503418,484
36,286.392548,193.141724,343
37,163.296432,727.687012,291
38,161.971802,734.987061,207
39,166.669662,740.311157,231
40,191.336258,249.173035,177
41,349.108124,548.380615,145
42,222.337677,709.719727,131
43,133.221100,219.901306,255
44,126.225967,230.692688,263
45,95.787697,217.304871,156
46,546.045349,673.268433,134
47,-51.364456,197.260193,106
48,95.788101,281.472473,89
49,126.745003,351.922119,88
50,160.004822,372.460388,70
51,550.572144,664.098999,50
52,195.401764,763.362915,33
53,99.989143,650.719727,20
54,196.703506,663.042297,12
55,149.725708,947.834839,14
56,-146.535156,2485.860840,15
57,184.633820,334.780579,10
58,524.601685,605.598267,10
59,114.879257,140.874695,13
60,-1.000000,1025.000000,0
61,-1.000000,1025.000000,0
62,210.145370,399.461670,5
63,-33.924881,888.414795,21
64,236.939697,465.632080,31
65,564.932861,905.475769,41
66,436.855255,341.839417,51
67,402.492401,246.029114,69
68,173.139603,452.068848,102
69,316.640991,490.824524,136
70,187.880356,844.576965,126
71,511.064240,392.571106,146
72,366.656952,390.311768,205
73,481.749512,433.587830,235
74,432.187073,425.509033,266
75,217.627548,773.058655,284
76,469.106506,426.455383,597
77,475.584503,419.373657,688
78,467.393585,434.360291,551
79,449.220215,443.556030,559
80,436.747559,452.057434,724
81,434.666931,458.799744,708
82,422.100922,465.304443,503
83,401.921997,487.910217,587
84,407.110168,493.133240,519
85,385.362854,502.296082,419
86,371.433258,510.977783,298
87,428.403137,392.724304,268
88,366.650696,488.175049,306
89,323.752258,590.725952,457
90,314.231262,571.923584,577
91,303.355591,580.241089,586
92,301.250549,604.592590,591
93,281.101929,597.186279,711
94,342.187836,616.739502,813
95,269.212280,702.252747,683
96,296.579193,605.385986,675
97,331.732147,624.002930,585
98,358.282990,624.506470,621
99,295.394592,533.887451,498
100,161.927155,754.765625,518
101,363.432556,592.016113,536
102,365.672485,602.588623,720
103,376.124512,580.950500,713
104,389.419800,570.542358,786
105,394.475342,575.033081,857
106,377.068726,560.861938,736
107,374.793854,582.909302,804
108,366.448608,567.674133,865
109,368.130554,578.194702,803
110,359.504242,579.100952,747
111,354.692505,582.606934,855
112,365.181854,590.074341,858
113,351.392822,592.319519,825
114,346.738525,591.069458,683
115,434.568939,257.840820,463
116,503.490326,206.851074,333
117,167.491776,747.576538,315
118,311.549774,650.381714,390
119,434.247070,257.673645,334
120,167.814850,746.130371,384
121,-77.408195,595.111572,480
122,162.839172,736.480896,362
123,167.591400,743.620239,369
124,163.450485,743.103027,298
125,271.766693,701.573792,447
126,268.596069,701.258301,640
127,375.128326,727.091431,492
128,350.090271,752.021057,551
129,344.271149,726.895630,526
130,363.568573,666.331421,467
131,339.167603,726.566650,592
132,489.477081,694.232788,588
133,369.576660,711.883972,598
134,353.210785,746.982361,608
135,351.470001,760.810181,472
136,361.830994,766.373596,473
137,269.235321,701.177246,478
138,236.083740,433.839111,423
139,61.860794,425.997131,608
140,68.098495,414.396057,640
141,69.205971,426.407288,574
142,68.102264,425.519409,532
143,68.149757,425.760132,499
144,90.615791,420.556396,322
145,383.273621,774.277954,263
146,438.877197,576.729065,151
147,153.605103,98.425110,375
148,150.089310,86.690247,433
149,431.532196,772.951843,431
150,150.229813,86.626648,395
151,152.053848,89.584290,360
152,504.290222,688.321289,295
153,474.602417,772.903625,218
154,483.191895,776.125000,219
155,168.632095,366.346863,67
156,213.843765,364.838135,63
157,495.713898,801.035767,108
158,504.207397,817.777222,176
159,516.653503,811.444031,244
160,539.099121,803.361694,356
161,544.647400,794.656799,320
162,514.950073,827.602356,132
163,537.105713,810.929260,529
164,614.800781,702.524292,450
165,476.015350,798.246216,317
166,161.338562,208.775146,129
167,284.620605,373.841003,109
168,495.170197,834.579895,109
169,459.812347,377.697571,139
170,374.331543,812.679382,158
171,360.335144,300.053040,228
172,158.322891,98.013550,255
173,455.312134,567.058289,280
174,150.247711,87.223145,344
175,354.330048,811.625122,401
176,150.122787,87.104370,340
177,304.628540,817.621460,415
178,164.366806,816.432922,324
179,271.186401,821.012634,490
180,272.947266,817.739441,757
181,243.808395,792.103516,372
182,262.179474,797.951721,360
183,235.455002,797.505981,272
184,228.275177,824.094299,198
185,227.495209,737.845886,269
186,205.108170,792.806763,247
187,195.013428,776.300781,313
188,210.417358,792.471130,373
189,196.899704,850.179321,459
190,182.419876,783.051514,495
191,197.089188,807.025330,505
192,189.168121,769.767883,376
193,192.358185,745.458618,179
194,256.360596,727.212891,264
195,276.855469,803.929932,273
196,273.933533,694.099731,349
197,216.841690,756.658325,341
198,269.905273,702.439697,362
199,223.811554,398.694153,133
200,161.486877,734.850220,144
201,257.307983,627.974854,175
202,254.077377,629.535583,162
203,254.433670,629.708374,170
204,1000.238159,656.015381,212
205,268.284637,700.636597,482
206,420.318420,906.670227,435
